Delivery Agent,PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,Intermediate X,Intermediate Y
ChainAgent-cha1-0-0-5-pp-end,p_it0_0,0,11,True,120,12,6
ChainAgent-cha1-0-0-0-pp-end,p_it0_4,17,6,True,124,12,6
ChainAgent-cha1-0-0-7-pp-end,p_it0_1,13,0,True,234,24,0
ChainAgent-cha1-0-0-7-pp-end,p_it10_3,13,0,True,237,24,0
ChainAgent-cha1-0-0-2-pp-end,p_it0_2,13,0,True,238,24,0
ChainAgent-cha1-0-0-2-pp-end,p_it5_1,8,6,True,136,18,6
ChainAgent-cha1-0-0-2-pp-end,p_it5_3,8,6,True,138,18,6
ChainAgent-cha1-0-0-2-pp-end,p_it25_3,8,6,True,136,18,6
ChainAgent-cha1-0-0-2-pp-end,p_it30_4,8,6,True,136,18,6
ChainAgent-cha1-0-0-7-pp-end,p_it10_0,7,6,True,142,18,6
ChainAgent-cha1-0-0-7-pp-end,p_it30_1,7,6,True,141,18,6
ChainAgent-cha1-0-0-2-pp-end,p_it15_0,9,6,True,144,18,6
ChainAgent-cha1-0-0-2-pp-end,p_it5_4,22,18,True,136,24,24
ChainAgent-cha1-0-0-2-pp-end,p_it10_4,22,18,True,136,24,24
ChainAgent-cha1-0-0-2-pp-end,p_it30_3,22,18,True,139,24,24
ChainAgent-cha1-0-0-7-pp-end,p_it10_1,19,18,True,141,24,24
ChainAgent-cha1-0-0-2-pp-end,p_it35_4,23,18,True,144,24,24
ChainAgent-cha1-0-0-2-pp-end,p_it20_0,12,12,True,88,18,12
ChainAgent-cha1-0-0-2-pp-end,p_it50_0,12,12,True,88,18,12
ChainAgent-cha1-0-0-2-pp-end,p_it40_2,12,12,True,89,18,12
ChainAgent-cha1-0-0-2-pp-end,p_it100_3,12,12,True,89,18,12
ChainAgent-cha1-0-0-2-pp-end,p_it50_1,12,12,True,91,18,12
ChainAgent-cha1-0-0-7-pp-end,p_it20_4,7,12,True,95,18,12
