iteration,AgentID,Pos X,Pos Y,algorithm
0,ChainAgent-cha1-0-0-0-pp-end,6,12,dijkstra
0,ChainAgent-cha1-0-0-1-pp-end,6,18,dijkstra
0,ChainAgent-cha1-0-0-2-pp-end,18,18,dijkstra
0,ChainAgent-cha1-0-0-3-pp-end,0,12,dijkstra
0,ChainAgent-cha1-0-0-4-pp-end,0,24,dijkstra
0,ChainAgent-cha1-0-0-5-pp-end,6,12,dijkstra
0,ChainAgent-cha1-0-0-6-pp-end,6,18,dijkstra
0,ChainAgent-cha1-0-0-7-pp-end,18,18,dijkstra
0,ChainAgent-cha1-0-0-8-pp-end,0,12,dijkstra
0,ChainAgent-cha2-0-1-0-pp-intermediate,12,12,dijkstra
