PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,5,1,True,10,5,1
p_it4_0,1,1,False,10,1,1
p_it2_0,1,9,True,10,1,9
p_it8_0,5,9,True,10,5,9
p_it6_0,5,9,True,10,5,9
p_it12_0,9,9,False,10,9,9
p_it10_0,5,9,False,11,5,9
p_it14_0,9,1,True,10,9,1
p_it16_0,9,5,True,10,9,5
p_it18_0,5,1,True,10,5,1
p_it20_0,9,5,False,10,9,5
p_it22_0,9,5,False,11,9,5
p_it26_0,9,1,True,10,9,1
p_it24_0,5,1,True,10,5,1
p_it28_0,9,9,True,10,9,9
p_it34_0,9,1,False,10,9,1
p_it30_0,5,9,True,10,5,9
p_it32_0,1,1,True,10,1,1
p_it42_0,1,5,False,10,1,5
p_it36_0,1,5,False,10,1,5
p_it40_0,1,5,False,10,1,5
p_it38_0,1,1,False,11,1,1
p_it46_0,1,5,False,10,1,5
p_it48_0,1,5,True,10,1,5
p_it44_0,1,1,False,10,1,1
p_it50_0,5,1,False,11,5,1
p_it52_0,5,1,True,10,5,1
p_it58_0,5,1,True,10,5,1
p_it54_0,9,1,True,10,9,1
p_it56_0,9,5,False,10,9,5
p_it60_0,1,5,False,10,1,5
p_it64_0,5,1,False,10,5,1
p_it62_0,1,9,True,10,1,9
p_it68_0,9,5,False,10,9,5
p_it66_0,1,9,True,10,1,9
p_it70_0,1,1,True,10,1,1
p_it72_0,5,1,True,11,5,1
p_it76_0,9,5,False,10,9,5
p_it74_0,5,1,False,10,5,1
p_it80_0,5,1,True,11,5,1
p_it78_0,1,1,True,10,1,1
p_it82_0,1,5,False,10,1,5
p_it88_0,5,9,True,10,5,9
p_it86_0,1,9,True,10,1,9
p_it84_0,9,1,False,10,9,1
p_it90_0,1,5,False,10,1,5
p_it96_0,1,1,True,10,1,1
p_it94_0,5,9,True,10,5,9
p_it98_0,5,1,False,10,5,1
p_it92_0,1,5,True,11,1,5
p_it102_0,9,1,True,11,9,1
p_it108_0,1,5,True,10,1,5
p_it110_0,9,9,False,10,9,9
p_it104_0,9,5,True,10,9,5
p_it106_0,1,1,False,10,1,1
p_it100_0,9,1,True,10,9,1
p_it114_0,9,5,False,10,9,5
p_it118_0,5,9,False,10,5,9
p_it116_0,9,1,False,11,9,1
p_it112_0,5,9,False,10,5,9
p_it124_0,9,9,False,10,9,9
p_it120_0,1,5,False,10,1,5
p_it122_0,1,5,True,10,1,5
p_it126_0,9,5,True,10,9,5
p_it130_0,5,1,False,11,5,1
p_it132_0,9,9,False,10,9,9
p_it128_0,1,5,True,10,1,5
p_it136_0,9,5,True,10,9,5
p_it134_0,1,1,False,10,1,1
p_it138_0,9,9,True,10,9,9
p_it148_0,1,5,True,10,1,5
p_it142_0,5,1,False,10,5,1
p_it146_0,9,9,False,10,9,9
p_it140_0,1,9,False,10,1,9
p_it144_0,5,1,True,11,5,1
p_it154_0,1,1,False,11,1,1
p_it158_0,1,1,True,10,1,1
p_it152_0,1,5,True,10,1,5
p_it150_0,9,5,False,10,9,5
p_it160_0,1,9,True,10,1,9
p_it156_0,9,5,False,11,9,5
p_it162_0,5,1,False,10,5,1
p_it164_0,1,1,True,11,1,1
p_it166_0,5,9,True,10,5,9
p_it170_0,5,9,False,10,5,9
p_it168_0,9,9,False,10,9,9
p_it176_0,5,1,False,10,5,1
p_it178_0,9,1,False,11,9,1
p_it174_0,9,1,False,10,9,1
p_it172_0,9,9,True,10,9,9
p_it180_0,9,5,False,10,9,5
p_it186_0,1,5,True,10,1,5
p_it184_0,9,5,False,10,9,5
p_it188_0,5,1,True,11,5,1
p_it182_0,9,9,True,10,9,9
p_it192_0,5,9,False,10,5,9
p_it190_0,1,1,True,10,1,1
p_it202_0,9,1,True,10,9,1
p_it196_0,5,9,True,11,5,9
p_it198_0,5,9,True,10,5,9
p_it194_0,1,5,True,10,1,5
p_it200_0,5,1,True,10,5,1
p_it208_0,5,1,True,11,5,1
p_it204_0,5,1,True,10,5,1
p_it206_0,5,9,False,10,5,9
p_it212_0,9,9,False,10,9,9
p_it210_0,1,1,True,10,1,1
p_it218_0,1,5,False,10,1,5
p_it216_0,1,5,False,11,1,5
