Type,Sender ID,Destination ID,Value,Comment
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it0_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it0_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it0_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it0_0'}",Message to agent:
delivery_accepted,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it0_0'}",Message to agent:
delivery_notify,chain_agent1,broker,"{'package_id': 'p_it0_0', 'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
delivery_accepted,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it2_0'}",Message to agent:
delivery_notify,chain_agent2,broker,"{'package_id': 'p_it2_0', 'pos': <src.utils.position.Position object at 0x1046f3e20>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
delivery_accepted,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it4_0'}",Message to agent:
delivery_notify,chain_agent3,broker,"{'package_id': 'p_it4_0', 'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
delivery_accepted,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it6_0'}",Message to agent:
delivery_notify,chain_agent4,broker,"{'package_id': 'p_it6_0', 'pos': <src.utils.position.Position object at 0x1046f3e20>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
delivery_accepted,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it8_0'}",Message to agent:
delivery_notify,chain_agent1,broker,"{'package_id': 'p_it8_0', 'pos': <src.utils.position.Position object at 0x1046f3e20>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it10_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it10_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it10_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it10_0'}",Message to agent:
delivery_accepted,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it10_0'}",Message to agent:
delivery_notify,chain_agent1,broker,"{'package_id': 'p_it10_0', 'pos': <src.utils.position.Position object at 0x1046f3e20>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
pickup_request,broker,roaming_agent5,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
delivery_accepted,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it12_0'}",Message to agent:
delivery_notify,chain_agent2,broker,"{'package_id': 'p_it12_0', 'pos': <src.utils.position.Position object at 0x11b2a4190>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
delivery_accepted,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it14_0'}",Message to agent:
delivery_notify,chain_agent3,broker,"{'package_id': 'p_it14_0', 'pos': <src.utils.position.Position object at 0x1046f3df0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
delivery_accepted,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it16_0'}",Message to agent:
delivery_notify,chain_agent4,broker,"{'package_id': 'p_it16_0', 'pos': <src.utils.position.Position object at 0x1046f3df0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
delivery_accepted,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it18_0'}",Message to agent:
delivery_notify,chain_agent1,broker,"{'package_id': 'p_it18_0', 'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
delivery_accepted,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it20_0'}",Message to agent:
delivery_notify,chain_agent2,broker,"{'package_id': 'p_it20_0', 'pos': <src.utils.position.Position object at 0x1046f3df0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
pickup_request,broker,roaming_agent5,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
delivery_accepted,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it22_0'}",Message to agent:
delivery_notify,chain_agent2,broker,"{'package_id': 'p_it22_0', 'pos': <src.utils.position.Position object at 0x1046f3df0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent5,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
pickup_request,broker,roaming_agent6,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
delivery_accepted,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'package_id': 'p_it24_0'}",Message to agent:
delivery_notify,chain_agent3,broker,"{'package_id': 'p_it24_0', 'pos': <src.utils.position.Position object at 0x11b29cbb0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it26_0'}",Message to agent:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it26_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it26_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it26_0'}",Message to agent:
delivery_accepted,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3df0>, 'package_id': 'p_it26_0'}",Message to agent:
delivery_notify,chain_agent4,broker,"{'package_id': 'p_it26_0', 'pos': <src.utils.position.Position object at 0x1046f3df0>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
delivery_accepted,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x11b2a4190>, 'package_id': 'p_it28_0'}",Message to agent:
delivery_notify,chain_agent1,broker,"{'package_id': 'p_it28_0', 'pos': <src.utils.position.Position object at 0x11b2a4190>, 'grid': <mesa.space.MultiGrid object at 0x11b2ba3a0>}",Message to broker:
pickup_request,broker,chain_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,chain_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,chain_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent0,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent1,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent3,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent4,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent5,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent6,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
pickup_request,broker,roaming_agent7,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
delivery_accepted,broker,chain_agent2,"{'pos': <src.utils.position.Position object at 0x1046f3e20>, 'package_id': 'p_it30_0'}",Message to agent:
