PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it2_0,5,9,True,7,5,9
p_it0_0,1,2,False,10,1,2
p_it4_0,1,7,True,15,1,7
p_it6_0,9,1,False,13,9,1
p_it12_0,1,7,True,9,1,7
p_it10_0,4,1,True,16,4,1
p_it8_0,1,9,False,19,1,9
p_it18_0,9,7,False,15,9,7
p_it24_0,4,1,False,10,4,1
p_it26_0,5,9,True,13,5,9
p_it20_0,1,7,True,19,1,7
p_it22_0,7,1,True,17,7,1
p_it32_0,2,9,False,16,2,9
p_it34_0,1,2,True,16,1,2
p_it40_0,9,7,True,13,9,7
p_it38_0,1,2,True,16,1,2
p_it42_0,5,9,True,17,5,9
p_it46_0,1,1,True,19,1,1
p_it54_0,9,7,True,11,9,7
p_it48_0,2,9,False,18,2,9
p_it58_0,4,9,False,8,4,9
p_it52_0,1,7,True,17,1,7
p_it66_0,5,1,False,13,5,1
p_it70_0,4,9,False,10,4,9
p_it68_0,9,5,True,15,9,5
p_it64_0,2,9,True,20,2,9
p_it72_0,9,7,False,13,9,7
p_it80_0,4,9,False,8,4,9
p_it78_0,4,9,True,14,4,9
p_it84_0,5,9,False,9,5,9
p_it82_0,4,9,False,14,4,9
p_it86_0,4,1,True,14,4,1
p_it92_0,9,5,True,11,9,5
p_it88_0,9,1,True,17,9,1
p_it90_0,1,2,True,16,1,2
p_it94_0,1,1,True,17,1,1
p_it98_0,1,7,True,15,1,7
p_it102_0,1,7,True,13,1,7
p_it104_0,1,4,True,14,1,4
p_it106_0,1,5,True,17,1,5
p_it110_0,9,5,True,15,9,5
p_it114_0,2,1,False,16,2,1
p_it116_0,9,2,True,14,9,2
p_it112_0,9,2,True,18,9,2
p_it124_0,4,1,False,12,4,1
p_it122_0,1,9,False,15,1,9
p_it128_0,2,9,False,18,2,9
p_it134_0,1,1,True,13,1,1
p_it130_0,1,9,True,17,1,9
p_it132_0,2,9,True,18,2,9
p_it136_0,7,1,True,17,7,1
p_it144_0,7,1,True,17,7,1
p_it146_0,9,5,False,17,9,5
p_it152_0,9,1,True,13,9,1
p_it148_0,9,2,True,18,9,2
p_it150_0,1,4,True,18,1,4
p_it160_0,1,4,True,14,1,4
p_it162_0,1,5,True,13,1,5
p_it164_0,1,1,True,15,1,1
p_it166_0,1,4,True,14,1,4
p_it168_0,9,1,False,15,9,1
p_it172_0,4,9,False,14,4,9
p_it174_0,1,2,False,16,1,2
p_it178_0,2,1,True,14,2,1
p_it180_0,1,2,True,14,1,2
p_it182_0,1,5,True,15,1,5
p_it184_0,9,1,False,17,9,1
p_it190_0,1,5,True,11,1,5
p_it188_0,2,1,True,14,2,1
p_it192_0,9,4,True,16,9,4
p_it196_0,9,2,True,16,9,2
p_it202_0,9,4,True,12,9,4
p_it200_0,7,9,False,17,7,9
p_it204_0,7,1,True,13,7,1
p_it206_0,2,9,False,16,2,9
p_it210_0,9,9,True,15,9,9
p_it212_0,1,9,True,17,1,9
p_it218_0,9,5,False,11,9,5
p_it216_0,2,9,True,14,2,9
p_it220_0,2,9,True,14,2,9
p_it224_0,9,1,True,19,9,1
p_it228_0,9,1,True,19,9,1
p_it230_0,7,9,False,17,7,9
p_it232_0,9,2,False,16,9,2
p_it234_0,1,4,True,18,1,4
p_it242_0,7,1,True,13,7,1
p_it246_0,9,7,True,13,9,7
p_it248_0,4,9,True,12,4,9
p_it250_0,7,1,True,11,7,1
