AgentID,x,y,algorithm,goal_package_point_type
comcha_0,5,5,dijkstra,pp-intermediate
comcha_1,5,5,dijkstra,pp-intermediate
comcha_2,5,5,dijkstra,pp-intermediate
comcha_3,5,5,dijkstra,pp-intermediate
comcha_4,5,5,dijkstra,pp-intermediate
comcha_5,5,5,dijkstra,pp-intermediate
comcha_6,5,5,dijkstra,pp-intermediate
comcha_7,5,5,dijkstra,pp-intermediate
roaming_0,5,3,dijkstra,
roaming_1,5,7,dijkstra,
roaming_2,3,5,dijkstra,
roaming_3,7,5,dijkstra,
roaming_4,3,3,dijkstra,
roaming_5,3,7,dijkstra,
roaming_6,7,3,dijkstra,
roaming_7,7,7,dijkstra,
roaming_8,5,3,dijkstra,
roaming_9,5,7,dijkstra,
roaming_10,3,5,dijkstra,
roaming_11,7,5,dijkstra,
roaming_12,3,3,dijkstra,
roaming_13,3,7,dijkstra,
roaming_14,7,3,dijkstra,
roaming_15,7,7,dijkstra,
