PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,9,1,True,18,9,1
p_it4_0,18,1,True,19,18,1
p_it2_0,9,23,True,22,9,23
p_it6_0,1,14,True,29,1,14
p_it8_0,1,5,True,27,1,5
p_it10_0,5,1,True,32,5,1
p_it12_0,23,9,True,48,23,9
p_it18_0,18,1,True,43,18,1
p_it26_0,1,9,True,44,1,9
p_it32_0,1,5,True,39,1,5
p_it30_0,9,1,True,44,9,1
p_it54_0,14,23,True,41,14,23
p_it60_0,18,1,True,37,18,1
p_it64_0,23,5,True,38,23,5
p_it66_0,23,1,True,44,23,1
p_it56_0,1,23,True,57,1,23
p_it80_0,23,1,True,48,23,1
p_it62_0,1,9,True,66,1,9
p_it100_0,5,1,True,36,5,1
p_it108_0,9,23,True,37,9,23
p_it96_0,9,23,True,52,9,23
p_it122_0,1,1,True,48,1,1
p_it120_0,1,23,True,50,1,23
p_it114_0,18,1,True,59,18,1
p_it134_0,18,23,True,47,18,23
p_it138_0,23,1,True,45,23,1
p_it126_0,14,1,True,69,14,1
p_it160_0,1,14,True,41,1,14
p_it156_0,5,23,True,48,5,23
p_it170_0,1,14,True,45,1,14
p_it182_0,9,1,True,36,9,1
p_it178_0,1,14,True,46,1,14
p_it180_0,5,23,True,56,5,23
p_it204_0,1,23,True,38,1,23
p_it192_0,1,14,True,50,1,14
p_it208_0,23,9,True,40,23,9
p_it216_0,23,1,True,40,23,1
p_it214_0,18,23,True,59,18,23
p_it210_0,9,23,True,65,9,23
p_it242_0,9,23,True,34,9,23
p_it234_0,23,5,True,42,23,5
p_it232_0,18,23,True,61,18,23
p_it260_0,14,23,True,35,14,23
p_it252_0,1,18,True,46,1,18
p_it262_0,1,23,True,46,1,23
p_it266_0,1,14,True,43,1,14
p_it284_0,23,5,True,52,23,5
p_it294_0,23,9,True,42,23,9
p_it286_0,1,5,True,51,1,5
p_it298_0,9,1,True,46,9,1
p_it306_0,1,1,True,52,1,1
p_it324_0,1,18,True,47,1,18
p_it334_0,9,23,True,38,9,23
p_it302_0,23,14,True,72,23,14
p_it328_0,14,23,True,51,14,23
p_it340_0,1,5,True,58,1,5
p_it354_0,18,1,True,52,18,1
p_it370_0,1,14,True,37,1,14
p_it368_0,18,1,True,45,18,1
p_it362_0,1,1,True,54,1,1
p_it400_0,1,14,True,33,1,14
p_it396_0,23,23,True,41,23,23
p_it386_0,1,18,True,55,1,18
p_it410_0,1,14,True,33,1,14
p_it408_0,23,1,True,38,23,1
p_it434_0,23,5,True,42,23,5
p_it426_0,14,1,True,51,14,1
p_it428_0,9,1,True,50,9,1
p_it430_0,23,23,True,49,23,23
p_it432_0,23,23,True,52,23,23
