PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,23,5,True,24,23,5
p_it2_0,5,23,True,24,5,23
p_it4_0,18,1,True,27,18,1
p_it8_0,1,5,True,34,1,5
p_it12_0,5,1,True,31,5,1
p_it18_0,1,5,True,40,1,5
p_it20_0,23,23,True,44,23,23
p_it28_0,23,5,True,42,23,5
p_it24_0,5,1,True,48,5,1
p_it36_0,23,1,True,39,23,1
p_it42_0,23,23,True,58,23,23
p_it48_0,5,23,True,52,5,23
p_it58_0,1,14,True,47,1,14
p_it54_0,1,18,True,53,1,18
p_it66_0,18,23,True,50,18,23
p_it88_0,14,1,True,51,14,1
p_it92_0,23,23,True,48,23,23
p_it94_0,1,5,True,50,1,5
p_it96_0,18,23,True,49,18,23
p_it118_0,14,1,True,45,14,1
p_it98_0,23,1,True,67,23,1
p_it138_0,1,9,True,36,1,9
p_it122_0,23,1,True,64,23,1
p_it132_0,1,9,True,58,1,9
p_it146_0,9,1,True,46,9,1
p_it134_0,14,23,True,69,14,23
p_it162_0,1,5,True,41,1,5
p_it154_0,23,1,True,68,23,1
p_it186_0,23,5,True,42,23,5
p_it194_0,23,1,True,34,23,1
p_it190_0,23,23,True,58,23,23
p_it204_0,1,9,True,50,1,9
p_it202_0,23,23,True,53,23,23
p_it226_0,23,9,True,38,23,9
p_it214_0,23,1,True,56,23,1
p_it230_0,9,1,True,54,9,1
p_it234_0,23,23,True,52,23,23
p_it248_0,23,18,True,39,23,18
p_it238_0,23,14,True,52,23,14
p_it260_0,5,1,True,48,5,1
p_it274_0,23,5,True,38,23,5
p_it276_0,9,23,True,40,9,23
p_it282_0,5,23,True,36,5,23
p_it272_0,1,9,True,51,1,9
p_it304_0,5,1,True,46,5,1
p_it312_0,14,23,True,39,14,23
p_it308_0,1,18,True,45,1,18
p_it314_0,5,1,True,43,5,1
p_it300_0,1,23,True,58,1,23
p_it324_0,14,23,True,53,14,23
p_it332_0,23,5,True,46,23,5
p_it348_0,18,1,True,37,18,1
p_it360_0,1,9,True,29,1,9
p_it370_0,9,23,True,26,9,23
p_it340_0,1,9,True,68,1,9
p_it366_0,1,5,True,48,1,5
p_it356_0,1,18,True,59,1,18
p_it386_0,9,1,True,29,9,1
p_it388_0,9,1,True,44,9,1
p_it406_0,14,23,True,35,14,23
p_it354_0,14,23,True,89,14,23
p_it412_0,23,1,True,35,23,1
p_it400_0,23,1,True,48,23,1
p_it434_0,23,5,True,40,23,5
p_it430_0,23,1,True,50,23,1
p_it422_0,1,23,True,58,1,23
p_it448_0,1,14,True,42,1,14
p_it438_0,1,14,True,53,1,14
