PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,18,1,True,21,18,1
p_it2_0,23,18,True,21,23,18
p_it4_0,23,5,True,25,23,5
p_it6_0,18,1,True,35,18,1
p_it10_0,1,5,True,38,1,5
p_it8_0,1,14,True,41,1,14
p_it14_0,1,18,True,41,1,18
p_it18_0,5,23,True,51,5,23
p_it32_0,1,14,True,39,1,14
p_it20_0,14,23,True,55,14,23
p_it46_0,9,1,True,42,9,1
p_it34_0,1,5,True,58,1,5
p_it44_0,14,1,True,55,14,1
p_it52_0,23,18,True,54,23,18
p_it60_0,9,1,True,52,9,1
p_it84_0,5,23,True,46,5,23
p_it82_0,23,9,True,52,23,9
p_it78_0,23,23,True,60,23,23
p_it102_0,23,9,True,43,23,9
p_it98_0,1,9,True,48,1,9
p_it88_0,23,14,True,65,23,14
p_it120_0,9,23,True,38,9,23
p_it132_0,1,5,True,42,1,5
p_it136_0,1,5,True,39,1,5
p_it106_0,23,18,True,71,23,18
p_it150_0,1,18,True,37,1,18
p_it142_0,1,23,True,48,1,23
p_it166_0,14,1,True,31,14,1
p_it168_0,14,1,True,30,14,1
p_it174_0,1,14,True,35,1,14
p_it172_0,9,1,True,42,9,1
p_it182_0,1,9,True,38,1,9
p_it190_0,5,1,True,31,5,1
p_it184_0,1,14,True,43,1,14
p_it196_0,1,1,True,50,1,1
p_it216_0,9,1,True,30,9,1
p_it200_0,14,1,True,49,14,1
p_it208_0,1,1,True,45,1,1
p_it220_0,1,5,True,48,1,5
p_it236_0,9,1,True,32,9,1
p_it234_0,1,14,True,37,1,14
p_it238_0,18,1,True,50,18,1
p_it222_0,23,14,True,67,23,14
p_it258_0,1,14,True,39,1,14
p_it260_0,23,14,True,47,23,14
p_it256_0,18,23,True,51,18,23
p_it266_0,1,18,True,47,1,18
p_it268_0,23,5,True,47,23,5
p_it284_0,23,9,True,50,23,9
p_it304_0,1,14,True,33,1,14
p_it300_0,18,1,True,42,18,1
p_it298_0,1,1,True,52,1,1
p_it306_0,5,1,True,46,5,1
p_it322_0,9,23,True,42,9,23
p_it328_0,14,1,True,42,14,1
p_it324_0,23,1,True,48,23,1
p_it344_0,23,1,True,44,23,1
p_it330_0,23,18,True,59,23,18
p_it332_0,1,5,True,66,1,5
p_it358_0,23,9,True,43,23,9
p_it362_0,9,1,True,42,9,1
p_it348_0,14,1,True,67,14,1
p_it368_0,23,23,True,54,23,23
p_it380_0,9,1,True,44,9,1
p_it378_0,14,23,True,54,14,23
p_it392_0,14,23,True,43,14,23
p_it402_0,18,23,True,43,18,23
p_it400_0,1,9,True,50,1,9
p_it420_0,9,1,True,48,9,1
p_it422_0,1,14,True,50,1,14
p_it424_0,18,1,True,53,18,1
p_it428_0,9,1,True,52,9,1
p_it442_0,1,1,True,56,1,1
