PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,1,18,True,31,1,18
p_it6_0,23,18,True,27,23,18
p_it2_0,1,18,True,32,1,18
p_it8_0,23,18,True,29,23,18
p_it4_0,1,1,True,34,1,1
p_it20_0,9,23,True,34,9,23
p_it26_0,1,9,True,44,1,9
p_it24_0,23,9,True,51,23,9
p_it42_0,9,23,True,34,9,23
p_it36_0,23,1,True,40,23,1
p_it32_0,23,1,True,52,23,1
p_it60_0,1,1,True,42,1,1
p_it66_0,23,5,True,41,23,5
p_it76_0,18,23,True,35,18,23
p_it74_0,5,1,True,42,5,1
p_it56_0,23,23,True,62,23,23
p_it98_0,14,1,True,32,14,1
p_it94_0,14,1,True,39,14,1
p_it78_0,23,14,True,73,23,14
p_it92_0,1,5,True,62,1,5
p_it128_0,23,18,True,33,23,18
p_it104_0,18,1,True,59,18,1
p_it106_0,23,23,True,61,23,23
p_it152_0,9,23,True,30,9,23
p_it146_0,14,1,True,47,14,1
p_it158_0,18,1,True,39,18,1
p_it144_0,1,23,True,60,1,23
p_it160_0,14,1,True,48,14,1
p_it170_0,14,1,True,45,14,1
p_it184_0,18,23,True,41,18,23
p_it150_0,23,23,True,76,23,23
p_it206_0,1,18,True,36,1,18
p_it200_0,1,18,True,43,1,18
p_it204_0,23,1,True,50,23,1
p_it178_0,1,14,True,79,1,14
p_it220_0,1,14,True,43,1,14
p_it238_0,9,23,True,34,9,23
p_it232_0,1,18,True,44,1,18
p_it250_0,5,23,True,36,5,23
p_it248_0,23,9,True,44,23,9
p_it256_0,18,1,True,39,18,1
p_it240_0,18,23,True,67,18,23
p_it262_0,23,23,True,55,23,23
p_it274_0,5,1,True,52,5,1
p_it290_0,14,23,True,39,14,23
p_it282_0,1,18,True,55,1,18
p_it286_0,1,1,True,72,1,1
p_it314_0,23,23,True,47,23,23
p_it306_0,18,23,True,57,18,23
p_it332_0,23,1,True,44,23,1
p_it322_0,23,5,True,56,23,5
p_it344_0,1,5,True,52,1,5
p_it354_0,1,23,True,45,1,23
p_it352_0,23,9,True,52,23,9
p_it372_0,18,23,True,33,18,23
p_it350_0,23,23,True,62,23,23
p_it378_0,9,23,True,50,9,23
p_it370_0,1,14,True,63,1,14
p_it388_0,23,5,True,48,23,5
p_it398_0,23,1,True,53,23,1
p_it404_0,23,23,True,48,23,23
p_it406_0,14,1,True,53,14,1
p_it432_0,18,23,True,37,18,23
p_it418_0,23,23,True,60,23,23
p_it442_0,1,9,True,45,1,9
p_it448_0,1,18,True,49,1,18
p_it450_0,1,5,True,48,1,5
