AgentID,x,y,algorithm,goal_package_point_type
comcha_0,12,12,dijkstra,pp-intermediate
comcha_1,12,12,dijkstra,pp-intermediate
comcha_2,12,12,dijkstra,pp-intermediate
comcha_3,12,12,dijkstra,pp-intermediate
comcha_4,12,12,dijkstra,pp-intermediate
comcha_5,12,12,dijkstra,pp-intermediate
comcha_6,12,12,dijkstra,pp-intermediate
comcha_7,12,12,dijkstra,pp-intermediate
roaming_0,12,7,dijkstra,
roaming_1,12,17,dijkstra,
roaming_2,7,12,dijkstra,
roaming_3,17,12,dijkstra,
roaming_4,7,7,dijkstra,
roaming_5,7,17,dijkstra,
roaming_6,17,7,dijkstra,
roaming_7,17,17,dijkstra,
roaming_8,12,7,dijkstra,
roaming_9,12,17,dijkstra,
roaming_10,7,12,dijkstra,
roaming_11,17,12,dijkstra,
roaming_12,7,7,dijkstra,
roaming_13,7,17,dijkstra,
roaming_14,17,7,dijkstra,
roaming_15,17,17,dijkstra,
