Type,Sender ID,Destination ID,Value,Comment
delivery_notify,comcha_0,"['broker', 'recruiter']","{'package_id': 'p_it0_0', 'pos': <src.utils.position.Position object at 0x1292c5c70>, 'grid': <mesa.space.MultiGrid object at 0x1292f7220>}",Message to broker:
pickup_request,broker,comcha_1,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it0_0'}",Message to agent:
pickup_request,broker,roaming_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it0_0'}",Message to agent:
delivery_accepted,broker,comcha_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it0_0'}",Message to agent:
delivery_notify,comcha_1,"['broker', 'recruiter']","{'package_id': 'p_it2_0', 'pos': <src.utils.position.Position object at 0x1292c5c70>, 'grid': <mesa.space.MultiGrid object at 0x1292f7220>}",Message to broker:
pickup_request,broker,roaming_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,comcha_2,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,comcha_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it2_0'}",Message to agent:
pickup_request,broker,roaming_8,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it2_0'}",Message to agent:
delivery_accepted,broker,comcha_1,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it2_0'}",Message to agent:
delivery_notify,comcha_2,"['broker', 'recruiter']","{'package_id': 'p_it4_0', 'pos': <src.utils.position.Position object at 0x1292c5c70>, 'grid': <mesa.space.MultiGrid object at 0x1292f7220>}",Message to broker:
pickup_request,broker,roaming_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,roaming_8,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_3,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_1,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_4,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_0,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_5,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_6,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,comcha_7,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
pickup_request,broker,roaming_14,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
delivery_accepted,broker,comcha_2,"{'pos': <src.utils.position.Position object at 0x1292c5c70>, 'package_id': 'p_it4_0'}",Message to agent:
