PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,2,9,False,9,2,9
p_it2_0,9,7,False,8,9,7
p_it8_0,2,1,True,9,2,1
p_it4_0,9,7,True,16,9,7
p_it6_0,9,7,True,15,9,7
p_it20_0,1,4,False,9,1,4
p_it16_0,1,4,True,14,1,4
p_it14_0,9,7,True,17,9,7
p_it24_0,2,9,False,9,2,9
p_it10_0,2,1,True,32,2,1
p_it26_0,4,9,False,17,4,9
p_it18_0,9,9,True,25,9,9
p_it44_0,1,5,True,6,1,5
p_it22_0,5,1,True,29,5,1
p_it40_0,5,1,True,12,5,1
p_it32_0,2,9,True,21,2,9
p_it28_0,7,9,True,27,7,9
p_it30_0,9,1,True,32,9,1
p_it46_0,9,1,False,17,9,1
p_it56_0,2,9,False,9,2,9
p_it42_0,9,9,True,25,9,9
p_it36_0,2,1,True,40,2,1
p_it50_0,2,1,True,27,2,1
p_it66_0,9,5,True,11,9,5
p_it68_0,1,9,True,10,1,9
p_it60_0,1,9,True,18,1,9
p_it34_0,1,9,True,45,1,9
p_it72_0,9,5,True,11,9,5
p_it12_0,9,2,True,77,9,2
p_it78_0,9,2,True,11,9,2
p_it80_0,9,5,False,9,9,5
p_it76_0,9,2,True,14,9,2
p_it48_0,4,9,True,42,4,9
p_it70_0,4,9,True,21,4,9
p_it82_0,9,7,True,15,9,7
p_it84_0,9,7,True,14,9,7
p_it74_0,2,9,True,27,2,9
p_it88_0,2,9,True,14,2,9
p_it62_0,1,1,True,41,1,1
p_it92_0,1,1,True,11,1,1
p_it64_0,1,1,True,40,1,1
p_it98_0,1,5,False,6,1,5
p_it86_0,7,9,True,22,7,9
p_it100_0,1,5,True,10,1,5
p_it52_0,5,9,True,59,5,9
p_it90_0,5,1,True,24,5,1
p_it96_0,5,1,True,19,5,1
p_it110_0,9,7,False,8,9,7
p_it106_0,2,9,True,14,2,9
p_it38_0,1,2,True,86,1,2
p_it94_0,9,4,True,33,9,4
p_it112_0,5,9,True,17,5,9
p_it120_0,5,9,True,10,5,9
p_it108_0,4,1,True,26,4,1
p_it118_0,4,1,True,16,4,1
p_it116_0,4,1,True,19,4,1
p_it128_0,4,9,False,9,4,9
p_it104_0,9,9,True,34,9,9
p_it54_0,9,1,True,92,9,1
p_it126_0,9,1,True,21,9,1
p_it130_0,9,4,True,19,9,4
p_it136_0,9,4,True,14,9,4
p_it146_0,4,9,True,7,4,9
p_it140_0,9,7,False,19,9,7
p_it102_0,2,1,True,58,2,1
p_it150_0,2,1,True,10,2,1
p_it144_0,2,1,True,17,2,1
p_it148_0,4,9,True,13,4,9
p_it152_0,9,7,True,17,9,7
p_it164_0,5,1,True,6,5,1
p_it134_0,5,1,True,36,5,1
p_it132_0,5,1,True,39,5,1
p_it162_0,2,9,False,9,2,9
p_it138_0,5,1,True,34,5,1
p_it160_0,7,9,True,19,7,9
p_it58_0,1,4,True,123,1,4
p_it122_0,1,4,True,60,1,4
p_it174_0,1,7,False,8,1,7
p_it166_0,1,7,True,17,1,7
p_it172_0,9,4,True,16,9,4
p_it176_0,9,4,True,13,9,4
p_it158_0,5,9,True,33,5,9
p_it114_0,9,2,True,80,9,2
p_it168_0,9,2,True,27,9,2
p_it180_0,9,7,True,18,9,7
p_it192_0,4,9,False,7,4,9
p_it184_0,9,7,True,15,9,7
p_it154_0,2,1,True,53,2,1
p_it188_0,9,5,True,19,9,5
p_it194_0,2,1,False,14,2,1
p_it196_0,9,5,False,12,9,5
p_it204_0,1,5,False,6,1,5
p_it208_0,7,9,True,8,7,9
p_it124_0,7,1,True,95,7,1
p_it202_0,7,1,True,17,7,1
p_it200_0,7,1,True,20,7,1
p_it214_0,5,9,False,6,5,9
p_it210_0,9,5,False,14,9,5
p_it222_0,1,5,False,6,1,5
p_it170_0,1,2,True,61,1,2
p_it218_0,1,2,True,13,1,2
p_it216_0,1,2,False,16,1,2
p_it224_0,1,5,True,10,1,5
p_it228_0,4,9,False,7,4,9
p_it226_0,9,9,True,10,9,9
p_it232_0,1,7,True,12,1,7
p_it156_0,1,1,True,89,1,1
p_it230_0,1,1,True,15,1,1
p_it234_0,1,7,False,11,1,7
p_it212_0,1,1,True,34,1,1
p_it240_0,7,9,True,8,7,9
p_it236_0,4,9,True,18,4,9
p_it242_0,9,5,True,14,9,5
p_it186_0,9,2,True,73,9,2
p_it206_0,9,2,True,53,9,2
p_it190_0,9,2,True,70,9,2
p_it256_0,9,4,False,7,9,4
p_it248_0,1,9,True,17,1,9
p_it198_0,1,4,True,74,1,4
p_it246_0,1,4,True,26,1,4
p_it244_0,9,7,True,28,9,7
p_it220_0,1,4,True,53,1,4
p_it258_0,9,7,True,15,9,7
p_it268_0,1,5,True,6,1,5
p_it250_0,1,7,True,27,1,7
p_it266_0,1,7,False,12,1,7
