PackageID,PackagePoint X,PackagePoint Y,Delayed,Delivery Time,End X,End Y
p_it0_0,5,5,False,,2,1
p_it2_0,5,5,False,,1,7
p_it4_0,5,5,False,,2,1
p_it6_0,5,5,False,,9,2
p_it8_0,5,5,False,,9,5
p_it10_0,5,5,False,,9,1
p_it12_0,5,5,False,,7,9
p_it14_0,5,5,False,,4,9
p_it16_0,5,5,False,,9,9
p_it18_0,5,5,False,,4,9
p_it20_0,5,5,False,,7,1
p_it22_0,5,5,False,,9,7
p_it24_0,5,5,False,,7,9
p_it26_0,5,5,False,,1,4
p_it28_0,5,5,False,,4,1
p_it30_0,5,5,False,,9,7
p_it32_0,5,5,False,,1,7
p_it34_0,5,5,False,,2,1
p_it36_0,5,5,False,,9,9
p_it38_0,5,5,False,,9,1
p_it40_0,5,5,False,,9,5
p_it42_0,5,5,False,,5,9
p_it44_0,5,5,False,,1,1
p_it46_0,5,5,False,,9,4
p_it48_0,5,5,False,,9,7
p_it50_0,5,5,False,,9,4
p_it52_0,5,5,False,,5,1
p_it54_0,5,5,False,,9,1
p_it56_0,5,5,False,,9,4
p_it58_0,5,5,False,,9,5
p_it60_0,5,5,False,,1,7
p_it62_0,5,5,False,,9,9
p_it64_0,5,5,False,,9,4
p_it66_0,5,5,False,,9,4
p_it68_0,5,5,False,,1,7
p_it70_0,5,5,False,,9,1
p_it72_0,5,5,False,,9,7
p_it74_0,5,5,False,,1,4
p_it76_0,5,5,False,,9,5
p_it78_0,5,5,False,,1,9
p_it80_0,5,5,False,,9,5
p_it82_0,5,5,False,,9,4
p_it84_0,5,5,False,,2,1
p_it86_0,5,5,False,,1,1
p_it88_0,5,5,False,,1,4
p_it90_0,5,5,False,,1,4
p_it92_0,5,5,False,,7,9
p_it94_0,5,5,False,,1,5
p_it96_0,5,5,False,,2,9
p_it98_0,5,5,False,,5,9
p_it100_0,5,5,False,,9,5
p_it102_0,5,5,False,,1,1
p_it104_0,5,5,False,,1,4
p_it106_0,5,5,False,,1,2
p_it108_0,5,5,False,,9,4
p_it110_0,5,5,False,,1,4
p_it112_0,5,5,False,,9,4
p_it114_0,5,5,False,,1,4
p_it116_0,5,5,False,,5,1
p_it118_0,5,5,False,,4,1
p_it120_0,5,5,False,,1,5
p_it122_0,5,5,False,,2,1
p_it124_0,5,5,False,,1,2
p_it126_0,5,5,False,,1,2
p_it128_0,5,5,False,,1,1
p_it130_0,5,5,False,,1,4
p_it132_0,5,5,False,,7,9
p_it134_0,5,5,False,,1,5
p_it136_0,5,5,False,,1,1
p_it138_0,5,5,False,,9,5
p_it140_0,5,5,False,,1,9
p_it142_0,5,5,False,,4,1
p_it144_0,5,5,False,,9,5
p_it146_0,5,5,False,,1,9
p_it148_0,5,5,False,,9,7
p_it150_0,5,5,False,,2,9
p_it152_0,5,5,False,,1,4
p_it154_0,5,5,False,,7,9
p_it156_0,5,5,False,,4,1
p_it158_0,5,5,False,,1,5
p_it160_0,5,5,False,,7,1
p_it162_0,5,5,False,,1,7
p_it164_0,5,5,False,,1,5
p_it166_0,5,5,False,,9,9
p_it168_0,5,5,False,,2,9
p_it170_0,5,5,False,,1,5
p_it172_0,5,5,False,,4,1
p_it174_0,5,5,False,,1,7
p_it176_0,5,5,False,,9,5
p_it178_0,5,5,False,,9,4
p_it180_0,5,5,False,,9,7
p_it182_0,5,5,False,,9,9
p_it184_0,5,5,False,,7,9
p_it186_0,5,5,False,,1,1
p_it188_0,5,5,False,,1,4
p_it190_0,5,5,False,,9,7
p_it192_0,5,5,False,,9,4
p_it194_0,5,5,False,,4,9
p_it196_0,5,5,False,,1,4
p_it198_0,5,5,False,,4,9
p_it200_0,5,5,False,,1,2
p_it202_0,5,5,False,,1,4
p_it204_0,5,5,False,,9,5
p_it206_0,5,5,False,,9,9
p_it208_0,5,5,False,,9,7
p_it210_0,5,5,False,,1,7
p_it212_0,5,5,False,,9,5
p_it214_0,5,5,False,,1,4
p_it216_0,5,5,False,,9,4
p_it218_0,5,5,False,,7,9
p_it220_0,5,5,False,,7,9
p_it222_0,5,5,False,,9,9
p_it224_0,5,5,False,,4,9
p_it226_0,5,5,False,,9,2
p_it228_0,5,5,False,,9,2
p_it230_0,5,5,False,,7,1
p_it232_0,5,5,False,,1,2
p_it234_0,5,5,False,,1,7
p_it236_0,5,5,False,,1,7
p_it238_0,5,5,False,,4,1
p_it240_0,5,5,False,,9,9
p_it242_0,5,5,False,,7,9
p_it244_0,5,5,False,,2,9
p_it246_0,5,5,False,,1,2
p_it248_0,5,5,False,,4,9
p_it250_0,5,5,False,,9,7
p_it252_0,5,5,False,,9,1
p_it254_0,5,5,False,,2,9
p_it256_0,5,5,False,,9,1
p_it258_0,5,5,False,,1,7
p_it260_0,5,5,False,,9,4
p_it262_0,5,5,False,,5,1
p_it264_0,5,5,False,,1,1
p_it266_0,5,5,False,,9,9
p_it268_0,5,5,False,,2,1
p_it270_0,5,5,False,,1,4
p_it272_0,5,5,False,,1,4
p_it274_0,5,5,False,,1,7
p_it276_0,5,5,False,,1,1
p_it278_0,5,5,False,,5,1
p_it280_0,5,5,False,,1,2
p_it282_0,5,5,False,,1,4
p_it284_0,5,5,False,,9,1
p_it286_0,5,5,False,,5,9
p_it288_0,5,5,False,,2,1
p_it290_0,5,5,False,,9,4
p_it292_0,5,5,False,,4,9
p_it294_0,5,5,False,,1,7
p_it296_0,5,5,False,,5,9
p_it298_0,5,5,False,,2,1
p_it300_0,5,5,False,,1,5
p_it302_0,5,5,False,,4,9
p_it304_0,5,5,False,,5,1
p_it306_0,5,5,False,,1,1
p_it308_0,5,5,False,,5,1
p_it310_0,5,5,False,,5,9
p_it312_0,5,5,False,,9,9
p_it314_0,5,5,False,,1,5
p_it316_0,5,5,False,,9,1
p_it318_0,5,5,False,,1,7
p_it320_0,5,5,False,,9,1
p_it322_0,5,5,False,,9,7
p_it324_0,5,5,False,,9,4
p_it326_0,5,5,False,,9,4
p_it328_0,5,5,False,,1,2
p_it330_0,5,5,False,,9,9
p_it332_0,5,5,False,,2,9
p_it334_0,5,5,False,,4,9
p_it336_0,5,5,False,,9,5
p_it338_0,5,5,False,,9,7
p_it340_0,5,5,False,,1,4
p_it342_0,5,5,False,,1,4
p_it344_0,5,5,False,,1,4
p_it346_0,5,5,False,,1,2
p_it348_0,5,5,False,,2,9
p_it350_0,5,5,False,,2,1
p_it352_0,5,5,False,,5,9
p_it354_0,5,5,False,,9,7
p_it356_0,5,5,False,,9,1
p_it358_0,5,5,False,,9,9
p_it360_0,5,5,False,,7,1
p_it362_0,5,5,False,,1,2
p_it364_0,5,5,False,,9,1
p_it366_0,5,5,False,,4,1
p_it368_0,5,5,False,,5,1
p_it370_0,5,5,False,,9,4
p_it372_0,5,5,False,,1,2
