AgentID,x,y,algorithm,goal_package_point_type
comcha_0,5,5,dijkstra,pp-intermediate
comcha_1,5,5,dijkstra,pp-intermediate
comcha_2,5,5,dijkstra,pp-intermediate
comcha_3,5,5,dijkstra,pp-intermediate
comcha_4,5,5,dijkstra,pp-intermediate
comcha_5,5,5,dijkstra,pp-intermediate
comcha_6,5,5,dijkstra,pp-intermediate
comcha_7,5,5,dijkstra,pp-intermediate
comcha_0,5,3,dijkstra,pp-end
comcha_1,5,7,dijkstra,pp-end
comcha_2,3,5,dijkstra,pp-end
comcha_3,7,5,dijkstra,pp-end
comcha_4,3,3,dijkstra,pp-end
comcha_5,3,7,dijkstra,pp-end
comcha_6,7,3,dijkstra,pp-end
comcha_7,7,7,dijkstra,pp-end
comcha_8,5,3,dijkstra,pp-end
comcha_9,5,7,dijkstra,pp-end
comcha_10,3,5,dijkstra,pp-end
comcha_11,7,5,dijkstra,pp-end
comcha_12,3,3,dijkstra,pp-end
comcha_13,3,7,dijkstra,pp-end
comcha_14,7,3,dijkstra,pp-end
comcha_15,7,7,dijkstra,pp-end
