AgentID,x,y,algorithm,goal_package_point_type
comcha_0,25,25,dijkstra,pp-intermediate
comcha_1,25,25,dijkstra,pp-intermediate
comcha_2,25,25,dijkstra,pp-intermediate
comcha_3,25,25,dijkstra,pp-intermediate
comcha_4,25,25,dijkstra,pp-intermediate
comcha_5,25,25,dijkstra,pp-intermediate
comcha_6,25,25,dijkstra,pp-intermediate
comcha_7,25,25,dijkstra,pp-intermediate
comcha_0,25,13,dijkstra,pp-end
comcha_1,25,37,dijkstra,pp-end
comcha_2,13,25,dijkstra,pp-end
comcha_3,37,25,dijkstra,pp-end
comcha_4,13,13,dijkstra,pp-end
comcha_5,13,37,dijkstra,pp-end
comcha_6,37,13,dijkstra,pp-end
comcha_7,37,37,dijkstra,pp-end
comcha_8,25,13,dijkstra,pp-end
comcha_9,25,37,dijkstra,pp-end
comcha_10,13,25,dijkstra,pp-end
comcha_11,37,25,dijkstra,pp-end
comcha_12,13,13,dijkstra,pp-end
comcha_13,13,37,dijkstra,pp-end
comcha_14,37,13,dijkstra,pp-end
comcha_15,37,37,dijkstra,pp-end
